timestamp,line_num,src_id,seq,hops,rssi,latency_ms
17:03:14.553,6,4,65,0,-101,3573
17:03:21.901,24,4,66,0,-93,5921
17:03:24.363,30,4,67,0,-95,3362
17:03:24.698,36,3,133,0,-89,2694
17:03:28.321,44,4,68,0,-94,2341
17:03:30.087,50,3,134,0,-98,3107
17:03:34.962,57,3,135,0,-87,2981
17:03:35.879,64,4,69,0,-95,4899
17:03:44.503,82,4,71,0,-91,2523
17:03:44.853,88,3,137,0,-91,1873
17:03:49.210,96,4,72,0,-89,2230
17:03:49.499,102,3,138,0,-91,1519
17:03:54.380,109,3,139,0,-92,1400
17:03:54.888,115,4,73,0,-90,2908
17:03:59.647,123,4,74,0,-89,2667
17:04:07.245,142,3,141,0,-96,3265
17:04:11.515,149,4,76,0,-91,2535
17:04:11.816,155,3,142,0,-92,2836
17:04:15.136,161,4,77,0,-92,1156
17:04:16.098,168,3,143,0,-88,2118
17:04:20.148,176,4,78,0,-91,1168
17:04:20.520,182,3,144,0,-94,1539
17:04:27.437,200,3,145,0,-104,3456
17:04:28.651,206,4,79,0,-94,4671
17:04:31.186,213,3,146,0,-95,2205
17:04:31.951,219,4,80,0,-92,2971
17:04:36.942,225,3,147,0,-108,2961
17:04:38.446,232,4,81,0,-92,4466
17:04:41.004,239,4,82,0,-90,2023
17:04:47.931,257,4,83,0,-91,3951
17:04:48.187,263,3,149,0,-97,1207
17:04:50.688,270,4,84,0,-91,1698
17:04:53.511,276,3,150,0,-98,1531
17:04:56.032,282,4,85,0,-90,2051
17:04:57.954,290,3,151,0,-97,974
17:05:01.395,297,4,86,0,-90,2414
17:05:08.201,315,4,87,0,-91,4220
17:05:10.126,323,3,153,0,-95,2145
17:05:11.563,329,4,88,0,-90,2582
17:05:15.228,335,3,154,0,-99,2247
17:05:16.565,341,4,89,0,-90,2584
17:05:18.820,349,3,155,0,-97,839
17:05:20.617,356,4,90,0,-91,1636
17:05:28.632,374,3,156,0,-96,5651
17:05:28.972,381,3,157,0,-96,991
17:05:32.844,390,4,92,0,-91,2863
17:05:35.662,396,3,158,0,-99,2681
17:05:36.295,402,4,93,0,-90,1314
17:05:39.547,410,3,159,0,-98,1566
17:05:41.562,417,4,94,0,-90,1581
17:05:48.523,435,3,160,0,-93,5542
17:05:49.249,442,3,161,0,-94,1267
17:05:50.493,448,4,95,0,-90,5512
17:05:52.549,455,4,96,0,-90,2568
17:05:56.871,461,4,97,0,-91,1890
17:05:57.512,467,3,162,0,-92,4531
17:05:59.583,475,3,163,0,-92,1602
17:06:06.382,491,4,98,0,-92,6401
17:06:06.681,497,3,164,0,-91,3700
17:06:08.265,503,4,99,0,-93,3284
17:06:10.607,511,3,165,0,-91,2626
17:06:11.753,518,4,100,0,-91,1772
17:06:14.301,524,3,166,0,-96,1320
17:06:18.280,533,4,101,0,-92,3299
17:06:25.751,551,4,102,0,-92,5770
17:06:26.624,557,3,168,0,-99,1643
17:06:27.333,563,4,103,0,-91,2351
17:06:31.605,571,3,169,0,-102,1624
17:06:32.048,577,4,104,0,-102,2067
17:06:36.107,586,3,170,0,-101,1126
17:06:38.385,592,4,105,0,-95,3404
17:06:46.943,611,4,106,0,-92,6961
17:06:48.081,617,3,172,0,-89,2099
17:06:48.960,624,4,107,0,-99,2978
17:06:52.158,631,3,173,0,-95,1177
17:06:52.542,637,4,108,0,-91,1561
17:06:57.305,644,4,109,0,-94,1324
17:06:58.707,650,3,174,0,-93,2725
17:07:06.447,668,3,175,0,-98,5465
17:07:08.886,675,3,176,0,-95,2905
17:07:09.155,682,4,111,0,-103,2174
17:07:12.685,689,3,177,0,-91,1704
17:07:15.148,695,4,112,0,-94,3167
17:07:18.745,702,3,178,0,-97,2764
17:07:20.117,709,4,113,0,-101,3136
17:07:26.015,727,4,114,0,-100,4034
17:07:27.118,733,3,179,0,-95,6137
17:07:28.573,739,4,115,0,-100,1592
17:07:30.647,745,3,180,0,-95,4665
17:07:32.886,753,3,181,0,-95,1904
17:07:34.907,759,4,116,0,-103,2925
17:07:38.620,766,4,117,0,-99,1638
17:07:45.533,782,3,183,0,-100,2551
17:07:45.917,789,4,118,0,-98,3935
17:07:49.555,795,4,119,0,-99,2573
17:07:52.926,802,3,184,0,-103,4944
17:07:54.019,808,4,120,0,-100,2037
17:07:55.009,815,3,185,0,-101,2027
17:08:01.507,823,4,121,0,-106,4525
17:08:14.139,842,3,188,0,-99,1157
17:08:15.281,848,4,123,0,-98,6299
17:08:16.731,855,4,124,0,-101,2749
17:08:18.839,861,3,189,0,-95,857
17:08:21.544,867,4,125,0,-101,2562
