timestamp,line_num,src_id,seq,hops,rssi,latency_ms
17:18:44.451,1156,4,172,0,-97,1465
17:18:47.570,1162,4,173,0,-94,2584
17:18:49.277,1169,4,174,0,-95,2291
17:18:51.403,1176,4,175,0,-96,2417
17:19:00.494,1192,4,177,0,-94,2508
17:19:01.481,1200,4,178,0,-95,1495
17:19:02.503,1207,3,93,0,-87,3517
17:19:03.737,1214,3,94,0,-86,2751
17:19:04.042,1220,4,179,0,-94,2056
17:19:04.801,1226,4,180,0,-95,815
17:19:06.027,1232,3,95,0,-85,3041
17:19:14.231,1252,3,97,0,-86,2245
17:19:15.990,1258,3,98,0,-85,1004
17:19:17.272,1264,4,182,0,-96,4286
17:19:18.935,1270,4,183,0,-98,2949
17:19:19.665,1276,3,99,0,-84,3679
17:19:20.935,1282,3,100,0,-84,2949
17:19:21.264,1288,4,184,0,-98,3278
